	type	instruction	run
0	NoTask	NA	1
1	list.txt	Énumère toutes les marques que tu connais.	2
2	NoTask	NA	3
3	memory.txt	Essaie de visualiser mentalement tes trajets quotidiens le plus précisément possible.	4
4	NoTask	NA	5
5	math.txt	Décompte à partir de 1000 en soustrayant 7 de manière itérative.	6
6	NoTask	NA	7
7	list.txt	Récite mentalement les noms de tous les pays que tu connais ainsi que leur capitale.	8
8	NoTask	NA	9
9	memory.txt	Repense à un voyage marquant que tu as fait. Souviens-toi des lieux que tu as visité, ce que tu as mangé, les activités que tu as faites…	10
10	NoTask	NA	11
11	math.txt	Compte les lettres de chaque mot d'une phrase que tu inventes et additionne ces valeurs.	12
12	NoTask	NA	13
13	list.txt	Pense à tous les fruits et légumes que tu peux nommer.	14
14	NoTask	NA	15
15	memory.txt	Essaie d’imaginer les plans de maisons ou d’appartements que tu connais et fais visiter chaque pièce.	16
16	NoTask	NA	17
17	math.txt	Multiplie mentalement chaque chiffre de ton numéro de téléphone par 2, puis additionne tous les résultats.	18
18	NoTask	NA	19
19	list.txt	Essaie de penser au plus d’animaux possibles.	20
20	NoTask	NA	21
21	memory.txt	Repense à plusieurs repas au restaurant. Visualise les plats que tu as commandé, la ou les personne(s) qui étaient présentes et les conversations que tu as eues.	22
22	NoTask	NA	23
23	math.txt	Calcule la suite des carrés des nombres entiers.	24
24	NoTask	NA	25
25	list.txt	Énumère toutes les professions que tu connais.	26
26	NoTask	NA	27
27	memory.txt	Remémore-toi l’histoire de livres ou de films que tu as aimé.	28
