	type	instruction	run
0	list.txt	Récite mentalement les noms de tous les pays que tu connais ainsi que leur capitale.	1
1	NoTask	NA	2
2	math.txt	Décompte à partir de 1000 en soustrayant 7 de manière itérative.	3
3	NoTask	NA	4
4	memory.txt	Rappelle-toi de tes premiers instants dans une nouvelle école ou à un nouveau travail. Souviens-toi des sensations et des personnes rencontrées.	5
5	NoTask	NA	6
6	list.txt	Énumère toutes les professions que tu connais.	7
7	NoTask	NA	8
8	math.txt	Récite-toi mentalement les tables de multiplication.	9
9	NoTask	NA	10
10	memory.txt	Essaie de te souvenir des moments marquants de l’année dernière.	11
11	NoTask	NA	12
12	list.txt	Énumère toutes les marques que tu connais.	13
13	NoTask	NA	14
14	math.txt	Multiplie mentalement chaque chiffre de ton numéro de téléphone par 2, puis additionne tous les résultats.	15
15	NoTask	NA	16
16	memory.txt	Repense à un voyage marquant que tu as fait. Souviens-toi des lieux que tu as visité, ce que tu as mangé, les activités que tu as faites…	17
17	NoTask	NA	18
18	list.txt	Pense à tous les fruits et légumes que tu peux nommer.	19
19	NoTask	NA	20
20	math.txt	Calcule la suite des carrés des nombres entiers.	21
21	NoTask	NA	22
22	memory.txt	Essaie d’imaginer les plans de maisons ou d’appartements que tu connais et fais visiter chaque pièce.	23
23	NoTask	NA	24
24	list.txt	Essaie de penser au plus d’animaux possibles.	25
25	NoTask	NA	26
26	math.txt	Compte les lettres de chaque mot d'une phrase que tu inventes et additionne ces valeurs.	27
27	NoTask	NA	28
