	type	instruction	run
0	math.txt	Multiplie mentalement chaque chiffre de ton numéro de téléphone par 2, puis additionne tous les résultats.	1
1	NoTask	NA	2
2	memory.txt	Essaie d’imaginer les plans de maisons ou d’appartements que tu connais et fais visiter chaque pièce.	3
3	NoTask	NA	4
4	list.txt	Énumère toutes les marques que tu connais.	5
5	NoTask	NA	6
6	math.txt	Décompte à partir de 1000 en soustrayant 7 de manière itérative.	7
7	NoTask	NA	8
8	memory.txt	Repense à plusieurs repas au restaurant. Visualise les plats que tu as commandé, la ou les personne(s) qui étaient présentes et les conversations que tu as eues.	9
9	NoTask	NA	10
10	list.txt	Récite mentalement les noms de tous les pays que tu connais ainsi que leur capitale.	11
11	NoTask	NA	12
12	math.txt	Compte les lettres de chaque mot d'une phrase que tu inventes et additionne ces valeurs.	13
13	NoTask	NA	14
14	memory.txt	Repense à un voyage marquant que tu as fait. Souviens-toi des lieux que tu as visité, ce que tu as mangé, les activités que tu as faites…	15
15	NoTask	NA	16
16	list.txt	Essaie de penser au plus d’animaux possibles.	17
17	NoTask	NA	18
18	math.txt	Calcule la suite des carrés des nombres entiers.	19
19	NoTask	NA	20
20	memory.txt	Essaie de visualiser mentalement tes trajets quotidiens le plus précisément possible.	21
21	NoTask	NA	22
22	list.txt	Énumère toutes les professions que tu connais.	23
23	NoTask	NA	24
24	math.txt	Récite-toi mentalement les tables de multiplication.	25
25	NoTask	NA	26
26	memory.txt	Rappelle-toi de visites dans des lieux touristiques (musées, expositions, monuments, zoo, etc).	27
27	NoTask	NA	28
