	type	instruction	run
0	NoTask	NA	1
1	list.txt	Énumère toutes les professions que tu connais.	2
2	NoTask	NA	3
3	memory.txt	Essaie de visualiser mentalement tes trajets quotidiens le plus précisément possible.	4
4	NoTask	NA	5
5	math.txt	Calcule la suite des carrés des nombres entiers.	6
6	NoTask	NA	7
7	list.txt	Énumère toutes les marques que tu connais.	8
8	NoTask	NA	9
9	memory.txt	Essaie de te souvenir des moments marquants de l’année dernière.	10
10	NoTask	NA	11
11	math.txt	Multiplie mentalement chaque chiffre de ton numéro de téléphone par 2, puis additionne tous les résultats.	12
12	NoTask	NA	13
13	list.txt	Pense à tous les fruits et légumes que tu peux nommer.	14
14	NoTask	NA	15
15	memory.txt	Rappelle-toi de visites dans des lieux touristiques (musées, expositions, monuments, zoo, etc).	16
16	NoTask	NA	17
17	math.txt	Récite-toi mentalement les tables de multiplication.	18
18	NoTask	NA	19
19	list.txt	Récite mentalement les noms de tous les pays que tu connais ainsi que leur capitale.	20
20	NoTask	NA	21
21	memory.txt	Repense à plusieurs repas au restaurant. Visualise les plats que tu as commandé, la ou les personne(s) qui étaient présentes et les conversations que tu as eues.	22
22	NoTask	NA	23
23	math.txt	Compte les lettres de chaque mot d'une phrase que tu inventes et additionne ces valeurs.	24
24	NoTask	NA	25
25	list.txt	Essaie de penser au plus d’animaux possibles.	26
26	NoTask	NA	27
27	memory.txt	Rappelle-toi de tes premiers instants dans une nouvelle école ou à un nouveau travail. Souviens-toi des sensations et des personnes rencontrées.	28
